,Unnamed: 0,index,CID,Category,SubCategory,HeelHeight,Insole,Closure,Gender,Material,ToeStyle,5,4,3,2,1,Brand,Name,Color,Price
3449,3449,12553,7786750-20854,Shoes,Sneakers and Athletic Shoes,,Gel;Padded;Textile,Lace up,Girls,Synthetic,,8034692-183092,7966892-171789,7783133-364186,7969348-151,7786749-2909,,,,
3450,3450,12554,7786767-151,Shoes,Sneakers and Athletic Shoes,,Padded;Textile,Lace up,Boys,Mesh;Synthetic,,8014154-911,8020614-3,8073986-390167,7999807-16812,7786750-20854,,,,
3451,3451,12555,7786767-87081,Shoes,Sneakers and Athletic Shoes,,Padded;Textile,Lace up,Boys,Mesh;Synthetic,,7997010-460,8124967-136469,7925462-337569,8025541-1245,7786767-151,,,,
3452,3452,12556,7786767-287272,Shoes,Sneakers and Athletic Shoes,,Padded;Textile,Lace up,Boys,Mesh;Synthetic,,7802931-371535,7833418-764,7699535-47529,8020006-226368,7786767-87081,,,,
3453,3453,12557,7786780-755,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Girls,Faux Leather;Synthetic,,7885702-920,8050154-143,8027570-30799,8038946-332255,7786767-287272,,,,
3454,3454,12576,7787245-287399,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Men,Rubber;Synthetic,,7802931-371535,8053198-632,8118234-405184,7508780-280766,7786780-755,,,,
3455,3455,12577,7787245-351100,Shoes,Sneakers and Athletic Shoes,,Moisture Wicking,Lace up,Men,Rubber;Synthetic,,7898404-329101,7896093-328349,8006959-8674,7962942-358150,7787245-287399,,,,
3456,3456,12578,7787251-287406,Shoes,Sneakers and Athletic Shoes,,Moisture Wicking;Padded,Lace up,Women,,,8006956-18,7553823-152357,8066342-151,8140605-151,7787245-351100,,,,
3457,3457,12579,7787251-351110,Shoes,Sneakers and Athletic Shoes,,Moisture Wicking;Padded,Lace up,Women,,,7919188-334676,7155963-236018,7548560-1247,8058558-262719,7787251-287406,,,,
3458,3458,12580,7787252-287407,Shoes,Sneakers and Athletic Shoes,,,Lace up,Men,Leather;Mesh;Rubber;Synthetic,,7997010-460,7884218-323498,7882306-259190,7931267-9,7787251-351110,,,,
3459,3459,12581,7787252-315242,Shoes,Sneakers and Athletic Shoes,,,Lace up,Men,Leather;Mesh;Rubber;Synthetic,,7997010-460,7756259-121104,7913606-9,7162892-330362,7787252-287407,,,,
3460,3460,12582,7787260-315244,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Leather;Mesh;Rubber;Synthetic,,7903475-330694,8122690-9,7208003-113953,7981381-165791,7787252-315242,,,,
3461,3461,12583,7787369-3897,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Men,Mesh;Rubber;Synthetic,,8034692-183092,7913616-151,7864623-315260,7892339-356050,7787260-315244,,,,
3462,3462,12584,7787369-287470,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Men,Mesh;Rubber;Synthetic,,7593971-387237,8146850-415835,7811373-10623,8029707-373099,7787369-3897,,,,
3463,3463,12585,7787369-351087,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Men,Mesh;Synthetic,,8034692-183092,8073935-390068,7950983-389749,7976607-355778,7787369-287470,,,,
3464,3464,12586,7787388-287488,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Women,Mesh;Rubber;Synthetic,,7898404-329101,7206253-183092,7898345-9,7985588-359085,7787369-351087,,,,
3465,3465,12587,7787388-351088,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Women,Mesh;Synthetic,,7976056-4006,7925802-386376,7189931-224710,7980757-384840,7787388-287488,,,,
3466,3466,12588,7787400-287493,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Men,Rubber,,8034692-183092,7890270-375062,7926302-287916,8020575-6,7787388-351088,,,,
3467,3467,12589,7787400-351115,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Men,Rubber;Synthetic,,7898600-3,7497497-720,8074698-3320,7936173-341467,7787400-287493,,,,
3468,3468,12590,7787422-287504,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Women,,,8034692-183092,8021798-411585,7944479-344064,7969539-322560,7787400-351115,,,,
3469,3469,12591,7787422-351116,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Women,,,7931183-9,7629839-136923,8103019-326286,8030093-325,7787422-287504,,,,
3470,3470,12592,7787499-287522,Shoes,Sneakers and Athletic Shoes,,EVA;Synthetic Leather,Lace up,Men,Leather;Microfiber;Mesh;Rubber;Synthetic,,7997010-460,7956847-347805,7365698-11196,7917326-69629,7787422-351116,,,,
3471,3471,12593,7787510-287522,Shoes,Sneakers and Athletic Shoes,,EVA;Leather;Padded;Synthetic Leather,Lace up,Men,Leather;Microfiber;Mesh;Rubber;Synthetic,,7885702-920,8081317-106,7976001-124697,7969349-7243,7787499-287522,,,,
3472,3472,12594,7787516-287524,Shoes,Sneakers and Athletic Shoes,,EVA;Synthetic Leather,,Women,Leather;Microfiber;Mesh;Rubber;Synthetic,,7997010-460,7983838-358540,7339008-35453,7984924-134358,7787510-287522,,,,
3473,3473,12595,7787536-205369,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,,Men,Nylon;Synthetic,,7997010-460,7966007-351099,7466209-24154,7978731-388679,7787516-287524,,,,
3474,3474,12596,7787536-293309,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,,Men,Nylon;Synthetic,,8034692-183092,7289975-1522,7982233-396551,7926037-6,7787536-205369,,,,
3475,3475,12597,7787536-322030,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,,Men,Nylon;Synthetic,,7896218-750,7430278-374585,7921331-322402,7819450-300809,7787536-293309,,,,
3476,3476,12598,7787536-322031,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,,Men,Nylon;Synthetic,,7594567-289850,7762891-24889,8015552-640,7925314-353403,7787536-322030,,,,
3477,3477,12599,7787536-324072,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,,Men,Nylon;Synthetic,,8034692-183092,7764678-196917,7942186-10279,8130466-8802,7787536-322031,,,,
3478,3478,12600,7787539-11399,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Men,Rubber;Synthetic,,8034692-183092,8000192-7339,7156062-513,7881561-1463,7787536-324072,,,,
3479,3479,12601,7787539-21438,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Men,Rubber;Synthetic,,7997010-460,7759479-136,8074642-3320,7192414-14,7787539-11399,,,,
3480,3480,12602,7787539-287535,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Men,Rubber;Synthetic,,8034692-183092,7794333-155033,7942186-10279,7171208-19,7787539-21438,,,,
3481,3481,12610,7787895-2125,Shoes,Sneakers and Athletic Shoes,,EVA,,Men,Mesh;Synthetic,,7879262-320809,7882063-6608,7868362-8889,7977649-356361,7787539-287535,,,,
3482,3482,12611,7787895-6297,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Men,Mesh;Synthetic,,7698880-3,7885683-324101,8084309-394217,7892157-151,7787895-2125,,,,
3483,3483,12612,7787895-352797,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Men,Mesh;Synthetic,,7898404-329101,7768838-3,7884195-355589,7886350-341071,7787895-6297,,,,
3484,3484,12613,7787898-2125,Shoes,Sneakers and Athletic Shoes,,EVA,,Men,Mesh;Rubber;Synthetic,,8034692-183092,7875074-390758,7886313-10623,7982039-357736,7787895-352797,,,,
3485,3485,12614,7787898-6297,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Men,Mesh;Rubber;Synthetic,,7296120-1834,7864589-315214,7976410-355676,8025331-401,7787898-2125,,,,
3486,3486,12615,7787898-352797,Shoes,Sneakers and Athletic Shoes,,,,Men,Mesh;Rubber;Synthetic,,8034692-183092,7832726-385277,7976197-355568,7971741-385466,7787898-6297,,,,
3487,3487,12616,7788090-7626,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Rubber;Synthetic,,7885702-920,7882222-13837,7883696-320469,7951983-346058,7787898-352797,,,,
3488,3488,12617,7788090-287703,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Rubber;Synthetic,,7919188-334676,7979454-315448,8086901-3,7989527-404939,7788090-7626,,,,
3489,3489,12618,7788090-322053,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Rubber;Synthetic,,7997010-460,8074619-390446,7903816-96204,7414499-3,7788090-287703,,,,
3490,3490,12619,7788145-143,Shoes,Sneakers and Athletic Shoes,,EVA,Zipper,Women,,,8044047-377259,7976630-355801,8075187-275,8035329-40561,7788090-322053,,,,
3491,3491,12620,7788186-16169,Shoes,Sneakers and Athletic Shoes,,EVA,,Women,Mesh;Synthetic,,8034694-44016,7168998-751,7903849-353779,8063858-390305,7788145-143,,,,
3492,3492,12621,7788186-47090,Shoes,Sneakers and Athletic Shoes,,EVA,,Women,Mesh;Synthetic,,7764678-367902,7977612-6583,7983184-106052,8036412-375106,7788186-16169,,,,
3493,3493,12622,7788186-113600,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Women,Mesh;Synthetic,,8013437-27389,7975722-183092,8058004-2105,7814418-6,7788186-47090,,,,
3494,3494,12623,7788193-16169,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Women,Mesh;Rubber;Synthetic,,7418942-57103,7983311-358197,7856995-8440,7978233-356575,7788186-113600,,,,
3495,3495,12624,7788193-47090,Shoes,Sneakers and Athletic Shoes,,EVA,,Women,Mesh;Rubber;Synthetic,,7675765-7124,7973595-1912,7755899-277802,7655671-272882,7788193-16169,,,,
3496,3496,12625,7788193-113600,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Women,Mesh;Rubber;Synthetic,,7911245-1001,7546036-356632,7956860-41100,8026541-371869,7788193-47090,,,,
3497,3497,12630,7788268-244742,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Women,Leather;Mesh;Rubber;Synthetic,,7919188-334676,7604281-764,7909624-4202,7966724-79274,7788193-113600,,,,
3498,3498,12631,7788329-336406,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men,Leather;Synthetic,,8027570-30799,7881721-40543,7982165-357804,8018803-266717,7788268-244742,,,,
3499,3499,12632,7788371-350939,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men,Leather;Rubber;Synthetic,,7997010-460,8089920-20,7349287-13080,8053188-632,7788329-336406,,,,
3500,3500,12633,7788385-336433,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Synthetic,,7950893-389731,7959865-742,7898045-329012,7925401-369377,7788371-350939,,,,
3501,3501,12634,7788385-350939,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Synthetic,,7997010-460,7909966-20,7928254-339056,7979820-357058,7788385-336433,,,,
3502,3502,12635,7788765-31629,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Mesh,,7885702-920,7426465-149,7698032-5743,8074642-3320,7788385-350939,,,,
3503,3503,12636,7788765-229782,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Mesh,,7997010-460,7972740-353838,8073060-5078,8012384-366981,7788765-31629,,,,
3504,3504,12637,7788765-317831,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Mesh,,7903475-330694,7964145-335752,7884804-323797,7842992-76954,7788765-229782,,,,
3505,3505,12642,7788797-44040,Shoes,Sneakers and Athletic Shoes,2in - 2 3/4in,Padded,Lace up,Men,Leather,,7944390-401,8022814-151,7948288-275,7909742-20,7788765-317831,,,,
3506,3506,12643,7788797-183092,Shoes,Sneakers and Athletic Shoes,2in - 2 3/4in,Padded,Lace up,Men,Leather,,7997010-460,7978001-370686,8014087-1909,7608703-9034,7788797-44040,,,,
3507,3507,12665,7789301-288133,Shoes,Sneakers and Athletic Shoes,1in - 1 3/4in,Padded;Textile,Lace up,Women,Leather;Mesh;Rubber;Synthetic,Round Toe,7802931-371535,7319043-385003,7909697-3,8036704-3691,7788797-183092,,,,
3508,3508,12666,7789301-288135,Shoes,Sneakers and Athletic Shoes,1in - 1 3/4in,Padded;Textile,Lace up,Women,Leather;Mesh;Rubber;Synthetic,Round Toe,8034692-183092,7988019-401,7969787-9049,7973278-354111,7789301-288133,,,,
3509,3509,12667,7789305-927,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Women,Leather,,7898404-329101,8002239-14,8098459-3,7875441-755,7789301-288135,,,,
3510,3510,12668,7789305-25238,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Women,Leather,,7976093-372135,7971934-369352,8023705-245503,7903816-96204,7789305-927,,,,
3511,3511,12675,7789710-16629,Shoes,Sneakers and Athletic Shoes,,Moisture Wicking;Padded,Lace up,Men,Suede,,7802931-371535,7896041-264880,7655099-3597,7964029-386370,7789305-25238,,,,
3512,3512,12676,7789710-22807,Shoes,Sneakers and Athletic Shoes,,Moisture Wicking;Padded,Lace up,Men,Suede,,7885702-920,7756786-372458,8014790-325,8081644-275,7789710-16629,,,,
3513,3513,12677,7789710-373683,Shoes,Sneakers and Athletic Shoes,,Moisture Wicking;Padded,Lace up,Men,Suede,,7898404-329101,8042509-1901,7655099-28330,7885689-381431,7789710-22807,,,,
3514,3514,12684,7789916-288665,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Mesh;Rubber;Synthetic,,7548891-375065,7270779-11038,117623-326901,7613078-3394,7789710-373683,,,,
3515,3515,12686,7789958-322267,Shoes,Sneakers and Athletic Shoes,,EVA;Padded;Removable,Lace up,Women,Mesh;Rubber;Synthetic,,8034692-183092,8052983-1412,7949974-20709,7664188-245064,7789916-288665,,,,
3516,3516,12687,7789989-322059,Shoes,Sneakers and Athletic Shoes,,,,Men,Mesh;Rubber;Synthetic,,7764678-367902,7186908-1165,7903944-330899,8006956-3,7789958-322267,,,,
3517,3517,12688,7789989-380523,Shoes,Sneakers and Athletic Shoes,,,,Men,Mesh;Rubber;Synthetic,,7764678-367902,7842746-371500,7917495-334287,8092816-57036,7789989-322059,,,,
3518,3518,12694,7790001-3,Shoes,Sneakers and Athletic Shoes,,Removable,Lace up,Men,Leather,Round Toe,8034692-183092,7745426-275,7970330-4466,7977229-144,7789989-380523,VIONIC,Walker,Black,109.95
3519,3519,12695,7790001-751,Shoes,Sneakers and Athletic Shoes,,Removable,Lace up,Men,Leather,Round Toe,7548891-375065,7718429-23021,8087122-3,7965663-350935,7790001-3,VIONIC,Walker,White/Navy,109.95
3520,3520,12698,7790007-288759,Shoes,Sneakers and Athletic Shoes,,,Lace up,Men,Mesh;Rubber;Synthetic,,7296120-1834,7999703-506,7976010-355484,7893533-327087,7790001-751,,,,
3521,3521,12699,7790007-353196,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Mesh;Synthetic,,7896178-328376,7982041-357736,7459704-318867,7991106-361045,7790007-288759,,,,
3522,3522,12700,7790007-353197,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Mesh;Rubber;Synthetic,,7879262-320809,7967113-5291,7943152-63681,7909670-331949,7790007-353196,,,,
3523,3523,12702,7790171-337546,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Men,Mesh;Rubber,,7296120-1834,7973574-371649,7549143-767,7970331-4466,7790007-353197,,,,
3524,3524,12703,7790180-337559,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men,Mesh;Rubber;Synthetic,,7997010-460,8031344-373833,7902240-158,8074203-390286,7790171-337546,,,,
3525,3525,12822,7792384-151,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Slip-On,Men;Women,Canvas;Lace;Rubber;Suede,Round Toe,8067873-28814,7786224-375351,7964342-367075,7787400-351115,7790180-337559,,,,
3526,3526,12823,7792384-408,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Slip-On,Men;Women,Canvas;Rubber;Suede,Round Toe,7997010-460,7903397-3,8093359-9,7928748-320934,7792384-151,,,,
3527,3527,12824,7792384-274495,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Slip-On,Men;Women,Canvas,Round Toe,7911245-1001,7589099-356460,8076030-2557,7979664-356994,7792384-408,,,,
3528,3528,12825,7792384-348775,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Slip-On,Men;Women,Canvas,Round Toe,7764678-367902,7388108-136076,7893460-156329,7783095-364180,7792384-274495,,,,
3529,3529,12865,7792936-290466,Shoes,Sneakers and Athletic Shoes,,Gel;Padded;Textile,Lace up,Women,Leather;Mesh;Rubber;Synthetic,Round Toe,7975680-167163,8053555-139,7735319-357806,7242934-158,7792384-348775,,,,
3530,3530,12866,7792942-755,Shoes,Sneakers and Athletic Shoes,,Gel;Padded;Removable,Lace up,Women,,Round Toe,7885702-920,8050307-2799,7813647-92067,8081663-393160,7792936-290466,,,,
3531,3531,12867,7792942-290473,Shoes,Sneakers and Athletic Shoes,,Gel;Padded;Removable,Lace up,Women,Mesh;Rubber,Round Toe,7698880-3,7879390-339039,7727853-3,7968674-302454,7792942-755,,,,
3532,3532,12868,7792954-290483,Shoes,Sneakers and Athletic Shoes,,Gel;Leather;Padded,Slip-On,Women,Leather;Mesh;Rubber,,7925420-337511,7270445-361431,7985588-359043,7966722-14,7792942-290473,,,,
3533,3533,12869,7792956-267066,Shoes,Sneakers and Athletic Shoes,,Gel;Leather;Padded;Synthetic Leather,Lace up,Women,Lace;Leather;Mesh;Synthetic,,7931183-9,8074549-390370,8016578-9800,8065338-144,7792954-290483,,,,
3534,3534,12870,7792956-290485,Shoes,Sneakers and Athletic Shoes,,Gel;Leather;Padded;Synthetic Leather,Lace up,Women,Lace;Leather;Mesh;Synthetic,,7879262-320809,7439342-9,7174805-18055,7929799-97580,7792956-267066,,,,
3535,3535,12871,7792956-290486,Shoes,Sneakers and Athletic Shoes,,Gel;Leather;Padded;Synthetic Leather,Lace up,Women,Lace;Leather;Mesh;Synthetic,,7885702-920,7894158-352463,7963073-281,7481181-3,7792956-290485,,,,
3536,3536,12877,7793037-3764,Shoes,Sneakers and Athletic Shoes,,Gel;Memory Foam;Padded,Lace up,Men,Mesh;Rubber,Round Toe,7593971-387237,8006956-18,7980490-357313,103787-9,7792956-290486,,,,
3537,3537,12878,7793037-6553,Shoes,Sneakers and Athletic Shoes,,Gel;Memory Foam;Padded,Lace up,Men,Mesh;Rubber,Round Toe,7553452-559,7255074-385207,7996562-84362,7493098-6124,7793037-3764,,,,
3538,3538,12879,7793065-3764,Shoes,Sneakers and Athletic Shoes,,Gel;Memory Foam;Padded;Removable,Lace up,Women,Leather;Mesh;Rubber,,7926018-6,8164785-299836,7751190-3451,7731853-755,7793037-6553,,,,
3539,3539,12880,7793065-6553,Shoes,Sneakers and Athletic Shoes,,Gel;Memory Foam;Padded;Removable,Lace up,Women,Leather;Mesh;Rubber,,7698880-3,7755924-585,7495849-199380,117623-40591,7793065-3764,,,,
3540,3540,12897,7793109-87081,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men,Canvas;Lace;Mesh;Rubber,Round Toe,7885702-920,7703724-4275,7977266-375035,8031029-14847,7793065-6553,,,,
3541,3541,12898,7793109-287272,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men,Canvas;Lace;Mesh;Rubber,Round Toe,7997010-460,8018926-369405,8078916-391929,7879163-320746,7793109-87081,,,,
3542,3542,12901,7793114-107857,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Men,Leather;Mesh;Rubber;Synthetic,Round Toe,7764678-367902,7932825-356521,7845801-16624,8046184-378019,7793109-287272,,,,
3543,3543,12902,7793119-18630,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Women,Leather;Mesh;Rubber;Synthetic,Round Toe,8034692-183092,8098507-106,7390004-377303,8046392-378181,7793114-107857,,,,
3544,3544,12903,7793138-755,Shoes,Sneakers and Athletic Shoes,,Gel;Leather;Padded;Synthetic Leather,Lace up,Women,Lace;Leather;Rubber;Synthetic,,7296120-1834,7885051-323334,7902240-158,7882097-352660,7793119-18630,,,,
3545,3545,12904,7793240-109267,Shoes,Sneakers and Athletic Shoes,,,Lace up,Men,Leather,Round Toe;Closed Toe,8034692-183092,8058004-20,7879348-367414,7928579-5716,7793138-755,,,,
3546,3546,12905,7793240-370007,Shoes,Sneakers and Athletic Shoes,,,Lace up,Men,Leather,Round Toe;Closed Toe,7997010-460,7879009-338988,7898375-81441,7887497-156516,7793240-109267,,,,
3547,3547,12936,7794333-3,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men,Canvas,,8034692-183092,7925831-386687,7756792-20492,8010804-143,7793240-370007,,,,
3548,3548,12937,7794333-5636,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men,Canvas,,7879262-320809,7885686-2507,8071998-389427,7707719-755,7794333-3,,,,
3549,3549,12938,7794333-37367,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men,Canvas,,8044047-377259,7783678-3,7987210-106052,7742413-331822,7794333-5636,,,,
3550,3550,12939,7794333-155033,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men,Canvas,,7925401-337485,8046483-378246,7881997-322332,8058593-137771,7794333-37367,,,,
3551,3551,12940,7794333-375853,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men,Canvas,,7997010-460,7975527-373616,8056972-382199,7795807-767,7794333-155033,,,,
3552,3552,12977,7795230-366839,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men,Leather;Mesh;Nubuck;Rubber;Suede,,7764678-367902,8080834-113390,7713546-755,7971945-385491,7794333-375853,,,,
3553,3553,12978,7795230-384575,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men,Leather;Mesh;Nubuck;Rubber;Suede,,7764678-367902,7991276-50515,7727226-343774,7886312-513,7795230-366839,,,,
3554,3554,13024,7795729-121899,Shoes,Sneakers and Athletic Shoes,,Padded,Bungee;Hook and Loop,Girls,Leather,Round Toe;Closed Toe,7997010-460,7980949-357533,7924194-83799,7979945-742,7795230-384575,,,,
3555,3555,13025,7795729-186135,Shoes,Sneakers and Athletic Shoes,,Padded,Bungee;Hook and Loop,Girls,Leather,Round Toe;Closed Toe,7885702-920,7925446-337542,7925321-337402,7931181-9,7795729-121899,,,,
3556,3556,13026,7795729-291574,Shoes,Sneakers and Athletic Shoes,,Padded,Bungee;Hook and Loop,Girls,Leather,Round Toe;Closed Toe,8034692-183092,7992300-1634,7294465-76069,7843526-220656,7795729-186135,,,,
3557,3557,13027,7795789-380360,Shoes,Sneakers and Athletic Shoes,,Padded;Textile,Lace up,Girls,Canvas,Round Toe;Closed Toe,8067873-28814,7971741-369315,7976962-356015,7388112-70738,7795729-291574,,,,
3558,3558,13028,7795807-767,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Girls,Canvas,Round Toe;Closed Toe,7802931-371535,7901784-330227,8103923-388429,7976914-3,7795789-380360,,,,
3559,3559,13029,7795807-380360,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Girls,Canvas,Round Toe;Closed Toe,8034692-183092,7980518-4766,7735319-357806,7816436-3,7795807-767,,,,
3560,3560,13053,7796293-389810,Shoes,Sneakers and Athletic Shoes,,Padded;Textile,Lace up,Men,Canvas;Lace;Rubber,Round Toe;Closed Toe,7879262-320809,8127059-406777,7888891-51,7962140-349415,7795807-380360,,,,
3561,3561,13054,7796293-389949,Shoes,Sneakers and Athletic Shoes,,Padded;Textile,Lace up,Men,Canvas;Lace;Rubber,Round Toe;Closed Toe,7885702-920,7617213-374738,7723119-11683,7681320-275,7796293-389810,,,,
3562,3562,13074,7796398-955,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men;Women,Suede,Round Toe,7885702-920,7964513-321963,8058932-382827,7942181-40591,7796293-389949,,,,
3563,3563,13075,7796458-320239,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Boys,Mesh,,7885702-920,7971741-353374,7925401-385732,7890049-331551,7796398-955,,,,
3564,3564,13079,7796538-20502,Shoes,Sneakers and Athletic Shoes,,Padded;Textile,,Boys,Synthetic,,8067873-28814,7832687-337577,7991919-76,7991934-231,7796458-320239,,,,
3565,3565,13080,7796538-168453,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Boys,Faux Leather;Rubber;Synthetic,,7997035-171789,7864556-350916,7977629-311917,7755924-346261,7796538-20502,,,,
3566,3566,13081,7796538-388650,Shoes,Sneakers and Athletic Shoes,,Padded;Textile,Lace up,Boys,Synthetic,,7991257-381508,8060619-6583,7901795-330243,7882165-352851,7796538-168453,,,,
3567,3567,13082,7796539-20502,Shoes,Sneakers and Athletic Shoes,,Padded;Textile,Lace up,Boys,Faux Leather;Synthetic,,8012521-20502,7999751-744,7727837-8,7686842-40543,7796538-388650,,,,
3568,3568,13083,7796539-168453,Shoes,Sneakers and Athletic Shoes,,Padded;Textile,Lace up,Boys,Faux Leather;Synthetic,,8034692-183092,7969732-6608,7885274-755,8050495-744,7796539-20502,,,,
3569,3569,13084,7796539-356630,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Boys,Rubber;Synthetic,,7764678-367902,7975961-390363,7170383-384056,7742825-67995,7796539-168453,,,,
3570,3570,13085,7796540-20502,Shoes,Sneakers and Athletic Shoes,,Padded;Textile,Hook and Loop;Lace up,Boys,Faux Leather;Synthetic,,7802931-371535,7841063-3099,7677929-249344,7965995-369419,7796539-356630,,,,
3571,3571,13086,7796565-23389,Shoes,Sneakers and Athletic Shoes,,Padded;Textile,Lace up,Men,Leather;Rubber;Synthetic,Round Toe,7764678-367902,7752735-591,8089927-13567,7161902-585,7796540-20502,,,,
3572,3572,13099,7796946-360215,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Girls,Synthetic,Round Toe;Closed Toe,7879262-320809,7813510-321248,7970330-236771,7978001-370687,7796565-23389,,,,
3573,3573,13103,7797140-1843,Shoes,Sneakers and Athletic Shoes,,EVA,Slip-On,Men;Women,Rubber;Synthetic,,8058559-262719,8056490-371130,7813491-14037,8018803-266717,7796946-360215,,,,
3574,3574,13104,7797140-21316,Shoes,Sneakers and Athletic Shoes,,EVA,Slip-On,Men;Women,Rubber;Synthetic,,7885702-920,7174805-102360,7964428-386645,8041914-72,7797140-1843,,,,
3575,3575,13105,7797183-16179,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Mesh;Rubber;Synthetic,,7765290-116279,7888473-155,8045501-231,7541641-142860,7797140-21316,,,,
3576,3576,13106,7797184-5668,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Nylon;Rubber;Synthetic,,8027570-30799,7913608-143,8036824-464,8073094-1577,7797183-16179,,,,
3577,3577,13107,7797188-356489,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Boys,Leather;Nubuck;Suede,,7997010-460,7864635-426650,8085771-29408,7702162-151,7797184-5668,,,,
3578,3578,13108,7797188-356490,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Boys,Leather;Nubuck;Suede,,7898404-329101,7799973-144,8013413-367375,7979586-356974,7797188-356489,,,,
3579,3579,13109,7797188-366839,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Boys,Leather;Nubuck;Suede,,7698880-3,8038255-61024,8029184-3,7980089-357161,7797188-356490,,,,
3580,3580,13110,7797188-387055,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Boys,Leather;Nubuck;Suede,,7594567-289850,7382137-4870,8034954-44512,7903932-353824,7797188-366839,,,,
3581,3581,13113,7797303-356006,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,,Men,Mesh;Synthetic,,7999551-363840,8016577-325,7745429-105825,7592168-375844,7797188-387055,,,,
